NumCMD,DateCMD,CodeProduit,Produit,Categorie,Wilaya,Annee,Mois,Qte,MontantHT,PrixUnitaire,TypeOperation,Stock,ValeurStock,CMUP,MargeUnitaire,MargeTotal
POL/0002,2024-12-16,INK.0001,INK Canon 3210,Consommables,,2024,12,1000,600000,600,ACHAT,1000,600000,600,0,0
SLSG/0004,2025-03-28,INK.0001,INK Canon 3210,Consommables,Setif,2025,03,10,18000,1800,VENTE,990,594000,600,1200,12000
SLSR/0002,2025-02-22,INK.0004,Toner Canon 6030,,Blida,2025,02,2,3600,1800,VENTE,-2,0,0,1800,3600
POL/0004,2025-02-25,INK.0005,INK Epson 1100,Consommables,,2025,02,1000,600000,600,ACHAT,1000,600000,600,0,0
SLSD/0005,2025-03-28,INK.0005,INK Epson 110,Consommables,Oran,2025,03,10,8000,800,VENTE,990,594000,600,200,2000
POL/0001,2024-11-05,INK.0034,Toner Canon 6030,Consommables,,2024,11,20,900,45,ACHAT,20,900,45,0,0
SLSD/0001,2024-12-28,INK.0034,Toner Canon 6030,Consommables,Alger,2024,12,1,1800,1800,VENTE,19,855,45,1755,1755
POL/0002,2024-12-16,LAP.0011,Laptop Lenovo 110,Ordinateurs,,2024,12,500,33500000,67000,ACHAT,500,33500000,67000,0,0
SLSR/0002,2025-02-22,LAP.0011,Laptop Lenovo 110,Ordinateurs,Blida,2025,02,1,89000,89000,VENTE,499,33433000,67000,22000,22000
SLSD/0005,2025-03-28,LAP.0011,Laptop Lenovo 110,Ordinateurs,Oran,2025,03,3,267000,89000,VENTE,496,33232000,67000,22000,66000
POL/0001,2024-11-05,LAP.0120,Laptop HP Probook G4,Ordinateurs,,2024,11,10,1000000,100000,ACHAT,10,1000000,100000,0,0
SLSD/0001,2024-12-28,LAP.0120,Laptop HP Probook G4,Ordinateurs,Alger,2024,12,4,500000,125000,VENTE,6,600000,100000,25000,100000
POL/0003,2025-02-11,LAP.0120,Laptop HP Probook G4,Ordinateurs,,2025,02,5,525000,105000,ACHAT,11,1125000,102272.72727272728,0,0
SLSD/0003,2025-03-15,LAP.0120,Laptop HP Probook G4,Ordinateurs,Alger,2025,03,1,125000,125000,VENTE,10,1022727.2727272728,102272.72727272728,22727.27272727272,22727.27272727272
SLSG/0006,2025-05-02,LAP.0120,Laptop HP Probook G4,Ordinateurs,Alger,2025,05,2,250000,125000,VENTE,8,818181.8181818182,102272.72727272728,22727.27272727272,45454.54545454544
POL/0002,2024-12-16,PRI.0011,Printer EPSON 3010,Imprimantes,,2024,12,500,11500000,23000,ACHAT,500,11500000,23000,0,0
SLSD/0003,2025-03-15,PRI.0011,Printer EPSON 3010,Imprimantes,Alger,2025,03,2,64000,32000,VENTE,498,11454000,23000,9000,18000
SLSD/0005,2025-03-28,PRI.0011,Printer EPSON 3010,Imprimantes,Oran,2025,03,1,32000,32000,VENTE,497,11431000,23000,9000,9000
POL/0001,2024-11-05,PRI.0020,Printer Canon 6030,Imprimantes,,2024,11,10,390000,39000,ACHAT,10,390000,39000,0,0
SLSD/0001,2024-12-28,PRI.0020,Printer Canon 6030,Imprimantes,Alger,2024,12,1,49000,49000,VENTE,9,351000,39000,10000,10000
POL/0003,2025-02-11,PRI.0020,Printer Canon 6030,Imprimantes,,2025,02,3,123000,41000,ACHAT,12,474000,39500,0,0
SLSR/0002,2025-02-22,PRI.0020,Printer Canon 6030,Imprimantes,Blida,2025,02,2,98000,49000,VENTE,10,395000,39500,9500,19000
SLSD/0007,2025-05-04,PRI.0020,Printer Canon 6030,Imprimantes,Oran,2025,05,2,98000,49000,VENTE,8,316000,39500,9500,19000
POL/0002,2024-12-16,SCA.0002,Scanner Epson 1600,Scanners,,2024,12,200,3000000,15000,ACHAT,200,3000000,15000,0,0
SLSR/0002,2025-02-22,SCA.0002,Scanner Epson 1600,Scanners,Blida,2025,02,1,21000,21000,VENTE,199,2985000,15000,6000,6000
